policy_id,policy_date,agency,policy_type,affected_hcpcs_code,hospital_id,hospital_state,service_volume,avg_reimbursement_before_usd,avg_reimbursement_after_usd,claim_rejection_risk_score,estimated_financial_impact_usd
POL100000,2024-05-12,CDC,Billing Rule Change,71020,HOSP1116,MN,4162,244.16,184.79,0.177,-247097.94
POL100001,2024-05-31,FDA,Coding Guideline Update,83036,HOSP1200,MN,2589,458.29,450.61,0.131,-19883.52
POL100002,2023-09-20,FDA,Billing Rule Change,A0427,HOSP1244,FL,4777,62.25,48.92,0.303,-63677.41
POL100003,2024-12-03,CMS,Compliance Requirement,A0429,HOSP1094,WI,3231,246.57,212.13,0.852,-111275.64
POL100004,2023-03-22,HHS,Coding Guideline Update,71020,HOSP1214,FL,181,145.15,129.85,0.053,-2769.3
POL100005,2024-09-15,FDA,Coding Guideline Update,36415,HOSP1104,MI,2178,445.74,527.84,0.072,178813.8
POL100006,2025-03-03,CDC,Compliance Requirement,80053,HOSP1191,NC,2003,159.88,192.98,0.173,66299.3
POL100007,2023-06-04,CMS,Compliance Requirement,80048,HOSP1250,OH,559,112.94,105.49,0.153,-4164.55
POL100008,2024-12-12,HHS,Coding Guideline Update,99214,HOSP1187,WA,2473,413.47,353.11,0.025,-149270.28
POL100009,2023-05-30,FDA,Reimbursement Update,G0463,HOSP1067,CA,1274,205.06,229.18,0.726,30728.88
POL100010,2024-10-12,CDC,Billing Rule Change,J2405,HOSP1041,FL,1324,102.94,105.3,0.736,3124.64
POL100011,2022-06-04,CMS,Coverage Expansion,90471,HOSP1136,CA,1510,147.37,150.66,0.755,4967.9
POL100012,2023-01-21,FDA,Reimbursement Update,36415,HOSP1030,WI,1435,113.49,87.37,0.6,-37482.2
POL100013,2022-06-30,CMS,Billing Rule Change,36415,HOSP1150,IN,1065,360.39,409.23,0.736,52014.6
POL100014,2025-01-23,CDC,Reimbursement Update,J1100,HOSP1177,TX,2920,125.18,114.03,0.743,-32558.0
POL100015,2025-02-22,FDA,Compliance Requirement,A0425,HOSP1101,GA,3431,404.16,513.9,0.71,376517.94
POL100016,2022-08-07,CDC,Compliance Requirement,85025,HOSP1271,FL,1857,341.42,359.86,0.491,34243.08
POL100017,2023-07-17,HHS,Compliance Requirement,80053,HOSP1290,NC,2247,361.97,289.11,0.14,-163716.42
POL100018,2024-04-10,CMS,Compliance Requirement,85025,HOSP1270,WI,452,163.87,158.55,0.354,-2404.64
POL100019,2022-05-04,CDC,Reimbursement Update,85025,HOSP1230,AZ,2349,90.56,88.29,0.516,-5332.23
POL100020,2022-04-09,FDA,Billing Rule Change,85025,HOSP1200,IL,3219,485.8,433.77,0.098,-167484.57
POL100021,2024-01-23,HHS,Compliance Requirement,J1100,HOSP1037,MD,2792,268.11,301.53,0.363,93308.64
POL100022,2023-12-24,HHS,Compliance Requirement,93000,HOSP1207,CO,1580,310.87,277.35,0.538,-52961.6
POL100023,2024-04-26,CDC,Coding Guideline Update,85025,HOSP1042,GA,2622,398.82,301.9,0.265,-254124.24
POL100024,2024-08-21,FDA,Coverage Expansion,36415,HOSP1155,NY,1531,371.11,319.22,0.501,-79443.59
POL100025,2024-12-28,CDC,Compliance Requirement,93000,HOSP1052,IL,1707,170.67,190.3,0.158,33508.41
POL100026,2024-08-31,CMS,Coding Guideline Update,99214,HOSP1245,CO,1327,122.88,155.96,0.708,43897.16
POL100027,2023-05-16,CDC,Billing Rule Change,99215,HOSP1074,PA,2960,97.51,103.37,0.791,17345.6
POL100028,2023-02-25,CMS,Reimbursement Update,A0425,HOSP1289,MD,919,553.15,656.61,0.165,95079.74
POL100029,2024-09-29,HHS,Reimbursement Update,83036,HOSP1062,MI,4120,230.29,195.37,0.436,-143870.4
POL100030,2024-07-15,CMS,Coverage Expansion,99215,HOSP1023,WA,502,58.0,69.5,0.859,5773.0
POL100031,2023-10-23,CDC,Compliance Requirement,85025,HOSP1050,MA,838,163.39,139.14,0.743,-20321.5
POL100032,2023-12-25,FDA,Compliance Requirement,93000,HOSP1293,FL,2111,267.99,218.88,0.165,-103671.21
POL100033,2024-12-29,FDA,Reimbursement Update,99214,HOSP1016,GA,4425,538.21,410.08,0.56,-566975.25
POL100034,2022-04-15,FDA,Coverage Expansion,G0463,HOSP1006,TX,3024,211.68,256.04,0.187,134144.64
POL100035,2023-08-21,HHS,Coverage Expansion,99213,HOSP1061,NY,4147,463.73,487.1,0.451,96915.39
POL100036,2024-08-12,CMS,Coverage Expansion,93000,HOSP1193,NC,469,589.44,550.09,0.422,-18455.15
POL100037,2024-04-29,FDA,Coding Guideline Update,36415,HOSP1292,NC,3253,364.29,312.04,0.29,-169969.25
POL100038,2024-12-26,CDC,Compliance Requirement,93000,HOSP1172,NC,3523,409.77,480.11,0.115,247807.82
POL100039,2023-04-02,CDC,Compliance Requirement,J1885,HOSP1045,TX,1903,114.78,142.27,0.055,52313.47
POL100040,2022-02-04,CMS,Coverage Expansion,A0427,HOSP1031,GA,3512,371.0,471.36,0.018,352464.32
POL100041,2023-05-26,CMS,Billing Rule Change,J3490,HOSP1044,WI,1903,523.5,444.37,0.816,-150584.39
POL100042,2025-03-18,HHS,Billing Rule Change,J2405,HOSP1082,CA,239,244.93,189.97,0.836,-13135.44
POL100043,2023-03-28,CMS,Coverage Expansion,J2405,HOSP1084,PA,4303,155.4,127.99,0.363,-117945.23
POL100044,2024-11-10,FDA,Billing Rule Change,A0425,HOSP1044,FL,2221,421.45,361.6,0.675,-132926.85
POL100045,2024-08-30,FDA,Coding Guideline Update,85025,HOSP1118,OH,3329,253.09,316.39,0.535,210725.7
POL100046,2022-07-08,HHS,Coverage Expansion,93010,HOSP1207,MI,1674,99.0,118.74,0.647,33044.76
POL100047,2024-09-29,CMS,Billing Rule Change,93000,HOSP1284,TX,2680,557.53,642.65,0.401,228121.6
POL100048,2025-04-15,HHS,Billing Rule Change,J1885,HOSP1131,FL,2055,430.75,359.31,0.716,-146809.2
POL100049,2022-02-16,CDC,Compliance Requirement,80053,HOSP1291,FL,523,95.95,78.12,0.473,-9325.09
POL100050,2025-02-10,CDC,Compliance Requirement,J1885,HOSP1059,NC,3411,278.12,302.34,0.424,82614.42
POL100051,2022-07-29,HHS,Billing Rule Change,G0463,HOSP1292,CA,4749,500.99,458.56,0.852,-201500.07
POL100052,2023-12-27,CDC,Compliance Requirement,J2405,HOSP1243,PA,2986,359.23,447.05,0.403,262230.52
POL100053,2023-12-09,FDA,Coding Guideline Update,99213,HOSP1149,OH,3311,589.82,606.28,0.144,54499.06
POL100054,2023-11-29,CMS,Compliance Requirement,90471,HOSP1060,WI,164,75.36,86.99,0.903,1907.32
POL100055,2025-03-31,CMS,Reimbursement Update,J3490,HOSP1146,GA,1846,145.43,161.78,0.308,30182.1
POL100056,2024-05-27,HHS,Reimbursement Update,71020,HOSP1058,AZ,2994,471.99,574.76,0.017,307693.38
POL100057,2023-04-10,CMS,Billing Rule Change,83036,HOSP1286,IL,4451,297.15,293.37,0.832,-16824.78
POL100058,2023-11-27,CMS,Compliance Requirement,G0463,HOSP1256,WI,1029,363.03,321.59,0.437,-42641.76
POL100059,2022-12-15,CMS,Compliance Requirement,99214,HOSP1071,MD,4970,319.79,262.93,0.194,-282594.2
POL100060,2022-04-16,HHS,Compliance Requirement,85025,HOSP1282,NC,2129,76.84,67.3,0.785,-20310.66
POL100061,2022-11-25,CDC,Reimbursement Update,71020,HOSP1197,WI,1279,431.76,387.21,0.894,-56979.45
POL100062,2024-05-21,FDA,Reimbursement Update,90471,HOSP1257,FL,1335,355.51,364.94,0.542,12589.05
POL100063,2024-05-18,CDC,Reimbursement Update,99214,HOSP1091,IN,2583,373.33,384.43,0.742,28671.3
POL100064,2022-01-15,CMS,Coding Guideline Update,99215,HOSP1060,IN,2289,355.58,445.09,0.259,204888.39
POL100065,2024-09-08,CMS,Compliance Requirement,93000,HOSP1077,AZ,357,343.94,408.57,0.091,23072.91
POL100066,2023-04-10,HHS,Coverage Expansion,A0427,HOSP1168,IN,2106,527.85,565.35,0.212,78975.0
POL100067,2025-03-07,CMS,Billing Rule Change,36415,HOSP1245,CA,4986,98.65,126.01,0.603,136416.96
POL100068,2022-06-18,CMS,Billing Rule Change,A0427,HOSP1250,MO,2599,237.78,241.01,0.585,8394.77
POL100069,2023-12-27,CMS,Coding Guideline Update,93010,HOSP1070,MA,2645,165.71,207.76,0.444,111222.25
POL100070,2024-07-08,HHS,Compliance Requirement,71020,HOSP1177,WI,1273,581.07,691.85,0.913,141022.94
POL100071,2023-01-13,HHS,Coverage Expansion,J1100,HOSP1268,GA,1770,182.93,189.3,0.781,11274.9
POL100072,2023-11-13,HHS,Coding Guideline Update,J2405,HOSP1030,MO,501,189.06,149.03,0.228,-20055.03
POL100073,2024-03-29,HHS,Coverage Expansion,A0425,HOSP1123,AZ,338,416.26,363.84,0.719,-17717.96
POL100074,2023-09-12,CDC,Coding Guideline Update,A0429,HOSP1283,MA,3036,84.59,82.17,0.189,-7347.12
POL100075,2022-11-09,FDA,Reimbursement Update,J2405,HOSP1173,CA,4676,288.04,364.78,0.492,358836.24
POL100076,2022-09-16,FDA,Compliance Requirement,80048,HOSP1231,WI,4461,500.39,551.85,0.715,229563.06
POL100077,2023-09-11,CMS,Reimbursement Update,99215,HOSP1045,IL,4504,530.79,544.21,0.604,60443.68
POL100078,2022-11-21,CDC,Coding Guideline Update,93010,HOSP1041,MN,1084,508.17,596.73,0.551,95999.04
POL100079,2025-01-31,CMS,Coverage Expansion,A0429,HOSP1092,FL,4480,354.38,406.32,0.695,232691.2
POL100080,2024-05-25,HHS,Reimbursement Update,36415,HOSP1244,MI,2485,276.23,223.16,0.917,-131878.95
POL100081,2023-08-15,CMS,Reimbursement Update,90471,HOSP1164,NC,974,413.83,453.93,0.023,39057.4
POL100082,2022-10-04,FDA,Billing Rule Change,A0427,HOSP1214,IL,4153,393.57,501.23,0.373,447111.98
POL100083,2023-02-07,FDA,Compliance Requirement,J1100,HOSP1096,IL,2873,57.62,47.91,0.707,-27896.83
POL100084,2024-04-29,CMS,Compliance Requirement,99213,HOSP1216,GA,1308,183.4,195.21,0.624,15447.48
POL100085,2022-02-10,CDC,Billing Rule Change,85025,HOSP1160,MO,1501,226.05,282.65,0.504,84956.6
POL100086,2022-09-22,CMS,Reimbursement Update,93010,HOSP1260,MI,969,311.2,358.64,0.757,45969.36
POL100087,2023-05-12,CMS,Coverage Expansion,J1100,HOSP1172,IL,2838,88.68,94.0,0.299,15098.16
POL100088,2024-01-26,CDC,Billing Rule Change,85025,HOSP1027,NC,504,534.18,425.06,0.576,-54996.48
POL100089,2022-06-09,CDC,Billing Rule Change,85025,HOSP1140,CA,3931,472.64,516.86,0.757,173828.82
POL100090,2022-05-20,HHS,Compliance Requirement,J1885,HOSP1045,NY,4301,544.82,465.15,0.779,-342660.67
POL100091,2023-05-31,HHS,Reimbursement Update,J1885,HOSP1022,CA,1770,501.49,588.54,0.369,154078.5
POL100092,2023-03-14,CDC,Reimbursement Update,99213,HOSP1177,NY,1178,114.64,91.04,0.363,-27800.8
POL100093,2022-04-05,HHS,Coding Guideline Update,80048,HOSP1246,NC,1434,450.61,360.33,0.031,-129461.52
POL100094,2024-02-29,FDA,Reimbursement Update,80048,HOSP1127,OH,1183,559.09,478.73,0.102,-95065.88
POL100095,2022-02-19,FDA,Billing Rule Change,99213,HOSP1033,MD,101,46.7,48.59,0.234,190.89
POL100096,2022-07-20,FDA,Compliance Requirement,J1100,HOSP1233,MI,2287,257.6,309.5,0.834,118695.3
POL100097,2023-01-14,CDC,Compliance Requirement,36415,HOSP1288,NC,4287,64.4,62.22,0.534,-9345.66
POL100098,2024-07-15,HHS,Reimbursement Update,G0463,HOSP1252,CO,2230,489.33,624.26,0.48,300893.9
POL100099,2023-12-20,HHS,Reimbursement Update,90471,HOSP1066,FL,3495,597.14,728.99,0.771,460815.75
POL100100,2022-01-31,FDA,Coverage Expansion,71020,HOSP1080,WA,3268,375.27,427.75,0.338,171504.64
POL100101,2022-03-04,HHS,Coverage Expansion,J1100,HOSP1169,TX,1596,558.69,687.18,0.474,205070.04
POL100102,2023-06-19,CMS,Compliance Requirement,80053,HOSP1252,WA,4719,72.18,88.17,0.703,75456.81
POL100103,2023-02-01,CMS,Coding Guideline Update,90471,HOSP1162,FL,504,104.16,115.66,0.731,5796.0
POL100104,2022-10-15,FDA,Billing Rule Change,71020,HOSP1207,GA,4964,291.62,242.45,0.029,-244079.88
POL100105,2024-04-12,HHS,Compliance Requirement,90471,HOSP1242,MI,2184,243.16,285.49,0.163,92448.72
POL100106,2023-09-16,HHS,Coverage Expansion,36415,HOSP1256,FL,4610,580.77,534.42,0.739,-213673.5
POL100107,2024-11-26,FDA,Coverage Expansion,J2405,HOSP1011,CA,1846,285.52,285.38,0.007,-258.44
POL100108,2024-04-06,CMS,Compliance Requirement,J2405,HOSP1125,IN,706,329.79,381.34,0.186,36394.3
POL100109,2022-10-22,HHS,Coverage Expansion,93010,HOSP1130,FL,2563,467.32,564.01,0.986,247816.47
POL100110,2023-03-31,FDA,Reimbursement Update,99215,HOSP1080,TN,3753,476.49,556.92,0.399,301853.79
POL100111,2024-06-18,CMS,Coding Guideline Update,71020,HOSP1142,IL,2860,150.22,118.39,0.765,-91033.8
POL100112,2022-12-18,CDC,Coding Guideline Update,A0425,HOSP1251,GA,3740,272.61,302.24,0.878,110816.2
POL100113,2023-03-27,CMS,Reimbursement Update,A0427,HOSP1135,TX,4626,291.44,325.33,0.064,156775.14
POL100114,2023-10-12,CDC,Coding Guideline Update,36415,HOSP1297,MN,2677,79.63,84.15,0.161,12100.04
POL100115,2023-04-24,CMS,Reimbursement Update,71020,HOSP1165,MI,2180,118.82,145.71,0.624,58620.2
POL100116,2022-05-27,HHS,Billing Rule Change,71020,HOSP1023,GA,1219,508.31,601.71,0.461,113854.6
POL100117,2023-04-11,CMS,Coverage Expansion,99213,HOSP1133,MD,647,232.55,237.28,0.219,3060.31
POL100118,2024-10-24,CMS,Compliance Requirement,A0429,HOSP1294,NC,183,99.64,74.76,0.094,-4553.04
POL100119,2024-06-03,CDC,Coding Guideline Update,A0427,HOSP1135,MO,4065,126.57,161.74,0.873,142966.05
